iter	Passed	Remaining
878	35121	44791
879	35157	44745
880	35191	44698
881	35220	44644
882	35248	44589
883	35276	44534
884	35307	44483
885	35349	44446
886	35385	44401
887	35423	44359
888	35460	44316
889	35496	44270
890	35528	44220
891	35566	44178
892	35602	44134
893	35636	44087
894	35671	44041
895	35708	43998
896	35747	43957
897	35790	43921
898	35822	43871
899	35854	43822
900	35884	43769
901	35918	43723
902	35957	43683
903	36000	43647
904	36039	43605
905	36072	43558
906	36105	43509
907	36139	43463
908	36169	43411
909	36199	43360
910	36229	43308
911	36263	43262
912	36308	43228
913	36354	43195
914	36399	43162
915	36441	43125
916	36476	43080
917	36511	43034
918	36541	42983
919	36570	42930
920	36601	42880
921	36633	42831
922	36667	42785
923	36703	42740
924	36734	42691
925	36768	42644
926	36813	42611
927	36859	42578
928	36904	42545
929	36947	42509
930	36981	42463
931	37014	42416
932	37046	42366
933	37082	42323
934	37117	42278
935	37152	42233
936	37205	42209
937	37243	42166
938	37277	42120
939	37313	42077
940	37347	42031
941	37392	41996
942	37436	41962
943	37481	41928
944	37521	41888
945	37551	41838
946	37589	41796
947	37635	41764
948	37668	41716
949	37698	41667
950	37728	41616
951	37757	41564
952	37784	41511
953	37815	41461
954	37846	41413
955	37879	41366
956	37909	41316
957	37937	41264
958	37969	41216
959	38004	41171
960	38044	41132
961	38082	41091
962	38123	41053
963	38162	41012
964	38207	40978
965	38261	40954
966	38317	40932
967	38363	40899
968	38401	40858
969	38446	40825
970	38479	40778
971	38514	40733
972	38550	40689
973	38584	40644
974	38618	40599
975	38652	40553
976	38691	40512
977	38726	40468
978	38761	40424
979	38797	40381
980	38833	40338
981	38867	40292
982	38900	40245
983	38943	40209
984	38988	40176
985	39032	40141
986	39076	40105
987	39111	40061
988	39144	40015
989	39181	39973
990	39224	39937
991	39265	39898
992	39302	39856
993	39336	39811
994	39385	39781
995	39447	39764
996	39493	39730
997	39530	39688
998	39565	39645
999	39604	39604
1000	39647	39568
1001	39690	39532
1002	39729	39491
1003	39764	39447
1004	39794	39398
1005	39824	39349
1006	39857	39303
1007	39892	39259
1008	39925	39213
1009	39957	39166
1010	39987	39117
1011	40019	39070
1012	40059	39031
1013	40108	39000
1014	40163	38976
1015	40216	38950
1016	40265	38919
1017	40314	38888
1018	40352	38847
1019	40390	38806
1020	40424	38761
1021	40457	38715
1022	40491	38670
1023	40532	38632
1024	40567	38588
1025	40600	38542
1026	40636	38499
1027	40667	38452
1028	40702	38408
1029	40738	38365
1030	40782	38329
1031	40818	38287
1032	40854	38243
1033	40887	38198
1034	40919	38152
1035	40950	38104
1036	40980	38056
1037	41011	38008
1038	41042	37961
1039	41074	37915
1040	41106	37868
1041	41136	37819
1042	41166	37772
1043	41194	37722
1044	41223	37672
1045	41255	37626
1046	41286	37579
1047	41321	37536
1048	41353	37490
1049	41384	37443
1050	41418	37398
1051	41459	37361
1052	41507	37328
1053	41555	37297
1054	41602	37264
1055	41643	37226
1056	41678	37183
1057	41711	37137
1058	41742	37090
1059	41772	37043
1060	41803	36996
1061	41832	36948
1062	41864	36902
1063	41894	36854
1064	41922	36804
1065	41949	36755
1066	41980	36708
1067	42010	36661
1068	42041	36614
1069	42071	36567
1070	42102	36520
1071	42139	36478
1072	42181	36442
1073	42247	36425
1074	42311	36407
1075	42371	36385
1076	42434	36367
1077	42506	36354
1078	42589	36353
1079	42668	36347
1080	42747	36341
1081	42817	36328
1082	42885	36312
1083	42982	36320
1084	43092	36340
1085	43172	36335
1086	43236	36315
1087	43275	36274
